code,name,meal_item_codes,prompt
M046,برقوق طازج + ينسون دافئ,"FR01,HB03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fresh plums, anise tea. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M047,عنب أسود + قشطة طبيعية,"FR08,DF03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. glossy black grapes, natural cream. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M048,تمر + قهوة تركية,"FR03,DR02","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. dates, Turkish coffee. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M049,حلاوة طحينية غامقة,SW01,"Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. tahini halva. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M050,موز + لوز وكاجو,"FR12,NT04,NT05","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. banana slices, cashews, almonds. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M051,عنب أسود + كراوية دافئة,"FR08,HB02","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. glossy black grapes, caraway tea. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M052,فراولة طازجة + قشطة طبيعية,"FR09,DF03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fresh strawberries, natural cream. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M053,فشار ذرة طبيعي + تمر,"CB12,FR03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. popcorn, dates. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M054,تفاح مقشّر + موز,"FR02,FR12","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. peeled apple slices, banana slices. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M055,كرز طازج + شاي أخضر,"FR10,DR01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fresh cherries, green tea. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M056,شاي أخضر + فستق + ذرة مشوية,"DR01,NT02,CB11","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. green tea, pistachios, roasted corn kernels. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M057,تمر + شاي زعتر,"FR03,HB01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. dates, thyme tea. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M058,تفاح مقشّر + قشطة طبيعية,"FR02,DF03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. peeled apple slices, natural cream. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M059,رمان طازج + لوز,"FR05,NT05","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fresh pomegranate seeds, almonds. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M060,قشطة طبيعية بالعسل,"DF03,SW04","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. natural cream, natural honey drizzle. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M061,تين طازج + موز,"FR04,FR12","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fresh figs, banana slices. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M062,عنب أسود + كاجو + ذرة مشوية,"FR08,NT04,CB11","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. glossy black grapes, cashews, roasted corn kernels. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M063,تفاح مقشّر + زبيب,"FR02,FR06","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. peeled apple slices, raisins. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M064,مشمش طازج + تمر,"FR11,FR03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fresh apricots, dates. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M065,رمان طازج + فول سوداني,"FR05,NT03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fresh pomegranate seeds, peanuts. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M066,شاي أخضر + حلاوة طحينية,"DR01,SW01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. green tea, tahini halva. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M067,شوكولاتة داكنة 70% + لوز,"SW02,NT05","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. dark chocolate 70%, almonds. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M068,بطاطا حلوة مشوية + قشطة طبيعية + تمر,"CB05,DF03,FR03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. roasted sweet potato, natural cream, dates. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M069,تمر + قهوة تركية + عسل أسود,"FR03,DR02,SW03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. dates, Turkish coffee, molasses syrup. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M070,عسل طبيعي + شوكولاتة داكنة + قهوة تركية,"SW04,SW02,DR02","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. natural honey drizzle, dark chocolate 70%, Turkish coffee. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M071,موز + لوز وكاجو + شاي أخضر,"FR12,NT04,NT05,DR01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. banana slices, cashews, almonds, green tea. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M072,رمان طازج + لوز + شاي أخضر,"FR05,NT05,DR01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fresh pomegranate seeds, almonds, green tea. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M073,تمر + لوز + قشطة طبيعية,"FR03,NT05,DF03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. dates, almonds, natural cream. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M074,عنب أسود + قشطة طبيعية + عسل,"FR08,DF03,SW04","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. glossy black grapes, natural cream, natural honey drizzle. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M075,أرز أبيض + حبات ذرة مشوية + بطاطس مقلية + زبدة بلدي,"CB01,CB11,CB08,DF01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, roasted corn kernels, golden pan-fried seasoned potato cubes, melting pat of golden country butter. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M076,أرز أبيض + شوربة لحم + بطاطس مسلوقة,"CB01,MT01,CB07","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, warm broth, boiled potatoes. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M077,أرز أبيض + لحم ضأن مسلوق + بطاطس مقلية,"CB01,MT08,CB08","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, boiled lamb meat, golden pan-fried seasoned potato cubes. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M078,أرز أبيض + كفتة لحم بقري + بطاطس مسلوقة + شوربة لحم,"CB01,MT03,CB07,MT01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, beef kofta, boiled potatoes, warm broth. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M079,أرز أبيض + كفتة لحم بقري + بطاطس مسلوقة + زيتون كالاماتا,"CB01,MT03,CB07,OL01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, beef kofta, boiled potatoes, a small cluster of glossy Kalamata olives. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M080,أرز أبيض + كفتة لحم خروف + بطاطس مسلوقة + زيتون كالاماتا,"CB01,MT04,CB07,OL01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, lamb kofta, boiled potatoes, a small cluster of glossy Kalamata olives. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M081,أرز أبيض + حمام محشي + بطاطس مقلية + زيتون كالاماتا,"CB01,BD01,CB08,OL01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, stuffed pigeon, golden pan-fried seasoned potato cubes, a small cluster of glossy Kalamata olives. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M082,أرز أبيض + سمك سردين بحري مشوي + بطاطس مقلية + زيتون كالاماتا,"CB01,FS02,CB08,OL01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, grilled sardine fillet, golden pan-fried seasoned potato cubes, a small cluster of glossy Kalamata olives. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M083,أرز أبيض + شوربة لحم + بطاطس مسلوقة + زيتون كالاماتا,"CB01,MT01,CB07,OL01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, warm broth, boiled potatoes, a small cluster of glossy Kalamata olives. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M084,أرز أبيض + بطاطس مسلوقة + زيت زيتون + زيتون كالاماتا,"CB01,CB07,OI01,OL01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, boiled potatoes, olive oil drizzle, a small cluster of glossy Kalamata olives. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M085,أرز بسمتي + بطاطس مهروسة + جبنة جودة,"CB04,CB09,CH01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. basmati rice, mashed potatoes, Gouda cheese. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M086,أرز أبيض + سمك سردين بحري مشوي + بطاطس مسلوقة,"CB01,FS02,CB07","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, grilled sardine fillet, boiled potatoes. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
